name,g_shift,r_shift,time
house.tif,"(2, 34)","(4, 98)",31.739380836486816
building.tif,"(-16, 32)","(-24, 78)",31.800539016723633
statue.tif,"(-10, 34)","(-26, 140)",32.89209985733032
